id:int,from_id:string,to_id:string,zone:int
3,Internet,rf2,0
21,client1,sw1,0
23,sw1,sw2,0
24,sw2,rf1,0
25,client2,sw2,0
26,sw2,rf1,0
28,sw1,client1,0
29,rf1,sw2,0
31,rf1,sw2,0
32,sw2,client2,0
33,rf1,sw3,0
34,sw3,rf2,0
35,rf1,sw3,0
36,sw3,WWWServer,0
37,rf2,sw3,0
38,sw3,rf1,0
39,rf2,sw3,0
40,sw3,WWWServer,0
41,rf2,sw5,0
42,sw5,admin,0
43,rf3,sw4,0
44,sw4,PsqlServer,0
45,rf3,sw5,0
46,sw5,admin,0
47,WWWServer,sw3,0
48,sw3,rf1,0
49,WWWServer,sw3,0
50,sw3,rf2,0
51,WWWServer,sw4,0
52,sw4,PsqlServer,0
53,admin,sw5,0
54,sw5,rf2,0
55,admin,sw5,0
56,sw5,rf3,0
57,PsqlServer,sw4,0
58,sw4,rf3,0
59,PsqlServer,sw4,0
60,sw4,WWWServer,0
