nodeID, property, value
rf1,name,rf1
rf1,type,router
rf1,intf,MAC 30:00:00:00:01:00 with IP 192.168.1.254
rf1,intf,MAC 30:00:00:00:01:01 with IP 192.168.2.1
rf2,name,rf2
rf2,type,router
rf2,intf,MAC 30:00:00:00:02:00 with IP 192.168.2.254
rf2,intf,MAC 30:00:00:00:02:01 with IP 192.168.4.1
rf2,intf,MAC 30:00:00:00:02:02 with IP 192.168.10.1
rf3,name,rf3
rf3,type,router
rf3,intf,MAC 30:00:00:00:03:00 with IP 192.168.3.254
rf3,intf,MAC 30:00:00:00:03:01 with IP 192.168.4.2
sw1,name,sw1
sw1,type,switch
sw1,intf,MAC 20:00:00:00:01:00
sw1,intf,MAC 20:00:00:00:01:01
sw2,name,sw2
sw2,type,switch
sw2,intf,MAC 20:00:00:00:02:01
sw2,intf,MAC 20:00:00:00:02:01
sw3,name,sw3
sw3,type,switch
sw3,intf,MAC 20:00:00:00:03:00
sw3,intf,MAC 20:00:00:00:03:01
sw4,name,sw4
sw4,type,switch
sw4,intf,MAC 20:00:00:00:04:00
sw4,intf,MAC 20:00:00:00:04:01
sw5,name,sw5
sw5,type,switch
sw5,intf,MAC 20:00:00:00:05:00
sw5,intf,MAC 20:00:00:00:05:01
client1,name,client1
client1,type,WWW client
client1,intf,MAC 00:00:00:00:c1:00 with IP 192.168.1.22
client2,name,client2
client2,type,WWW client
client2,intf,MAC 00:00:00:00:c2:00 with IP 192.168.1.23
WWWServer,name,WWWServer
WWWServer,type,WWW server
WWWServer,intf,MAC ba:5e:ba:11:00:00 with IP 192.168.2.22
WWWServer,intf,MAC ba:5e:ba:11:00:01 with IP 192.168.3.22
admin,name,admin
admin,type,admin
admin,intf,MAC ba:5e:ba:11:ad:00 with IP 192.168.4.22
Internet,name,Internet
Internet,type,Internet
Internet,intf,MAC 10:10:10:10:10:fe with IP 192.168.10.22
PsqlServer,name,PsqlServer
PsqlServer,type,DB
PsqlServer,intf,MAC ba:5e:ba:11:db:00 with IP 192.168.3.23
